date,revenue_this_year,revenue_last_year,revenue_variance,revenue_pct_difference,orders_this_year,orders_last_year,orders_variance,orders_pct_difference,stock_value_jhb_this_year,stock_value_dbn_this_year,stock_value_cpt_this_year,stock_value_total_this_year,stock_value_jhb_last_year,stock_value_dbn_last_year,stock_value_cpt_last_year,stock_value_total_last_year
2026-01-01,56274.23,60191.46,-3917.23,-6.51,76,61,15,24.59,8113576.909999998,1673686.4999999995,2580759.06,12368022.469999999,6827628.91,2241982.5500000003,3981268.1399999997,13050879.600000001
2026-01-02,108138.85,109777.46,-1638.61,-1.49,144,132,12,9.09,7963320.159999999,1689261.5899999999,2532168.1799999997,12184749.93,6760144.6400000015,2294085.95,3940441.6199999996,12994672.21
2026-01-03,79703.14,148499.39,-68796.25,-46.33,110,137,-27,-19.71,7878245.459999998,1682390.9599999995,2515980.4399999995,12076616.859999998,6633174.310000001,2283359.94,3934805.7700000005,12851340.020000003
2026-01-04,113809.63,65747.97,48061.66,73.1,133,94,39,41.49,7714153.019999997,1666427.2499999998,2492767.7700000005,11873348.039999995,6632645.08,2277419.89,3910949.1599999997,12821014.13
2026-01-05,456427.99,308005.89,148422.10,48.19,426,228,198,86.84,7510325.069999998,1619766.6099999996,2446677.23,11576768.909999998,6454215.690000002,2237882.73,3889404.9800000004,12581503.400000002
2026-01-06,337829.53,414930.72,-77101.19,-18.58,373,371,2,0.54,7902625.499999998,1594883.02,2512294.7400000007,12009803.259999998,6322100.6000000015,2176141.09,3825538.42,12323780.110000001
2026-01-07,308500.91,370593.48,-62092.57,-16.75,328,370,-42,-11.35,7827536.709999998,1571318.51,2475727.1100000003,11874582.329999998,6379421.590000001,2142102.07,3820001.2100000004,12341524.870000001
2026-01-08,260294.78,311318.12,-51023.34,-16.39,288,339,-51,-15.04,7755641.129999999,1593912.33,2515253.4600000004,11864806.92,6234729.74,2120983.2600000002,3802730.9900000007,12158443.99
2026-01-09,193662.43,251061.78,-57399.35,-22.86,244,280,-36,-12.86,7724256.529999999,1586185.3099999998,2521784.4599999995,11832226.299999999,6246842.780000001,2118817.8,3770590.29,12136250.870000001
2026-01-10,143392.30,160378.69,-16986.39,-10.59,159,193,-34,-17.62,7655828.420000001,1558049.0199999996,2513202.3799999994,11727079.82,6235796.53,2108100.91,3751996.46,12095893.9
2026-01-11,160042.71,103982.12,56060.59,53.91,191,118,73,61.86,7578631.119999999,1539761.7199999997,2489902.25,11608295.09,6248600.910000001,2098355.46,3728962.7899999996,12075919.16
2026-01-12,296455.34,134918.87,161536.47,119.73,343,158,185,117.09,7562382.219999999,1522438.0699999998,2470903.4699999997,11555723.759999998,6180154.620000002,2079214.7399999998,3713174.9299999992,11972544.290000001
2026-01-13,248741.22,239851.89,8889.33,3.71,315,259,56,21.62,7502002.25,1503762.1299999997,2447415.5199999996,11453179.899999999,6123382.05,2057577.9499999995,3686107.9,11867067.899999999
2026-01-14,231685.22,217293.10,14392.12,6.62,283,261,22,8.43,7575278.279999998,1492467.0899999999,2431705.89,11499451.259999998,6304064.19,2068219.1299999994,3775730.7699999996,12148014.09
2026-01-15,241097.11,324053.85,-82956.74,-25.6,334,401,-67,-16.71,7700834.669999998,1471895.9299999997,2397956.2199999997,11570686.819999997,6170465.190000001,2045380.3299999996,3720682.2,11936527.720000003
2026-01-16,149596.11,307554.22,-157958.11,-51.36,195,352,-157,-44.6,7701364.429999997,1457600.8299999998,2372139.9800000004,11531105.239999996,6308807.040000001,2109857.59,3746731.12,12165395.75
2026-01-17,92737.07,61177.04,31560.03,51.59,114,83,31,37.35,7653024.929999997,1449175.4899999998,2360283.0100000007,11462483.429999996,6425402.73,2159464.7699999996,3769290.2999999993,12354157.799999999
2026-01-18,138979.31,102016.84,36962.47,36.23,186,132,54,40.91,7581143.859999998,1429882.6799999997,2345754.92,11356781.459999997,6375874.509999999,2168932.5099999993,3764683.899999999,12309490.919999996
2026-01-19,213932.81,144551.21,69381.60,48.0,285,185,100,54.05,7584311.519999998,1415033.8100000003,2321121.43,11320466.759999998,6308886.91,2143120.6199999996,3740805.3699999996,12192812.899999999
2026-01-20,205407.13,285740.85,-80333.72,-28.11,273,372,-99,-26.61,7527673.549999998,1396058.4399999997,2309424.7500000005,11233156.739999998,6189027.680000001,2132846.1499999994,3771420.629999999,12093294.459999999
2026-01-21,261503.95,232579.59,28924.36,12.44,375,292,83,28.42,7449903.52,1388116.8,2277048.2200000007,11115068.540000001,6165187.470000001,2119993.18,3778438.9,12063619.55
2026-01-22,217685.53,227769.79,-10084.26,-4.43,248,275,-27,-9.82,7457342.459999997,1385037.2299999997,2279286.5400000005,11121666.229999999,6072217.000000001,2110431.6299999994,3886713.2199999997,12069361.850000001
2026-01-23,289364.57,191792.54,97572.03,50.87,368,226,142,62.83,7390948.119999996,1365108.4499999997,2310340.5300000003,11066397.099999998,6215170.17,2102689.26,3890957.3599999994,12208816.79
2026-01-24,140041.94,305821.11,-165779.17,-54.21,186,373,-187,-50.13,7319015.559999997,1355995.8999999997,2289599.9299999997,10964611.389999997,6105315.41,2120104.73,3840974.22,12066394.360000001
2026-01-25,158376.88,177629.08,-19252.20,-10.84,175,224,-49,-21.88,7234378.989999997,1341815.6099999996,2275431.170000001,10851625.77,6015902.470000001,2105752.15,3815631.95,11937286.57
2026-01-26,274364.78,182826.36,91538.42,50.07,377,230,147,63.91,7330358.229999999,1413888.65,2238702.1700000004,10982949.049999999,5935151.700000001,2086538.58,3780935.5700000003,11802625.850000001
2026-01-27,263561.20,373964.52,-110403.32,-29.52,350,489,-139,-28.43,7238667.539999996,1401699.75,2251993.58,10892360.869999995,5768053.43,2063978.59,3502695.84,11334727.86
2026-01-28,332852.63,333765.61,-912.98,-0.27,460,441,19,4.31,7039098.359999997,1392691.15,2290297.1900000004,10722086.699999996,5748714.4700000025,2042987.34,3527873.979999999,11319575.790000001
2026-01-29,245590.75,321027.99,-75437.24,-23.5,341,447,-106,-23.71,6933935.499999998,1344590.5499999998,2264967.9800000004,10543494.029999997,5618097.470000001,2024095.8599999999,3535059.6100000003,11177252.940000001
2026-01-30,151162.29,236648.71,-85486.42,-36.12,217,302,-85,-28.15,7569292.879999997,1507879.47,2263932.8100000005,11341105.159999998,5526644.380000002,2007530.6999999993,3505044.04,11039219.120000001
2026-01-31,107868.92,161418.15,-53549.23,-33.17,144,222,-78,-35.14,7519292.170000001,1497398.16,2254965.74,11271656.07,5574323.680000002,2059143.5099999998,3483348.4600000004,11116815.650000002
2026-02-01,122416.73,87638.48,34778.25,39.68,184,121,63,52.07,7464831.959999997,1483763.97,2236617.5900000003,11185213.519999998,5534148.78,2043971.75,3472983.5300000003,11051104.06
2026-02-02,276882.89,113585.58,163297.31,143.77,345,148,197,133.11,7359563.389999999,1468188.77,2405813.0500000003,11233565.209999999,5488406.790000003,2031868.3300000003,3471988.2199999997,10992263.340000004
2026-02-03,259744.24,243160.55,16583.69,6.82,346,342,4,1.17,7262356.399999999,1456275.07,2450308.8100000005,11168940.28,5379833.420000002,2022843.9999999995,3447068.5500000003,10849745.970000003
2026-02-04,266528.45,226364.36,40164.09,17.74,364,318,46,14.47,7723533.629999997,1489205.71,2438934.91,11651674.249999996,5329564.470000001,2003372.1199999999,3405126.54,10738063.13
2026-02-05,870575.93,633755.99,236819.94,37.37,692,571,121,21.19,7343853.629999998,1454228.0599999998,2349476.0800000005,11147557.769999998,5524394.47,1941002.6900000002,3327826.5899999994,10793223.75
2026-02-06,273245.56,507542.93,-234297.37,-46.16,279,530,-251,-47.36,7275660.819999999,1458049.7399999995,2323576.25,11057286.809999999,5620729.380000001,1909580.2599999995,3360365.7499999995,10890675.39
2026-02-07,171026.23,185831.03,-14804.80,-7.97,179,207,-28,-13.53,7192836.379999999,1434995.0199999998,2303076.77,10930908.169999998,5668033.609999999,1902873.8499999999,3366551.7500000005,10937459.209999999
2026-02-08,214960.78,115777.27,99183.51,85.67,214,135,79,58.52,7062537.43,1424177.7699999996,2276365.8800000004,10763081.08,5617976.57,1898145.7899999996,3348384.0800000005,10864506.44
2026-02-09,295694.59,158280.23,137414.36,86.82,347,174,173,99.43,6991050.019999999,1402578.2699999998,2251191.7600000002,10644820.049999999,5542271.569999999,1879725.4099999997,3327716.7400000007,10749713.719999999
2026-02-10,245412.34,286912.90,-41500.56,-14.46,301,320,-19,-5.94,7265435.019999996,1400391.0699999996,2224746.8900000006,10890572.979999997,5420326.87,1867681.0999999999,3283904.41,10571912.379999999
2026-02-11,275451.83,239962.77,35489.06,14.79,346,313,33,10.54,7565546.459999997,1388908.46,2406790.79,11361245.709999997,5499040.8100000005,1894883.2599999998,3244278.6,10638202.67
2026-02-12,204189.19,262528.38,-58339.19,-22.22,243,277,-34,-12.27,7547665.669999998,1389837.5599999996,2433503.75,11371006.979999997,5509111.710000002,1859503.6499999997,3206465.63,10575080.990000002
2026-02-13,205563.81,200503.31,5060.50,2.52,277,241,36,14.94,7518223.249999999,1411637.2399999998,2400707.95,11330568.439999998,5724816.790000002,1851672.89,3188990.2699999996,10765479.950000001
2026-02-14,106585.44,116214.51,-9629.07,-8.29,135,165,-30,-18.18,7466348.749999998,1401020.13,2386599.15,11253968.03,5746969.760000002,1877379.9699999997,3173815.2100000004,10798164.940000001
2026-02-15,203518.89,91113.26,112405.63,123.37,250,110,140,127.27,7758921.999999998,1384262.68,2358084.5999999996,11501269.279999997,5708441.990000002,1865423.2399999995,3157479.579999999,10731344.81
2026-02-16,321192.45,107622.91,213569.54,198.44,434,157,277,176.43,7656913.389999999,1366878.0100000002,2306953.7099999995,11330745.109999998,5654516.470000002,1854258.9899999993,3137460.2100000004,10646235.670000002
2026-02-17,274303.09,389094.39,-114791.30,-29.5,376,518,-142,-27.41,7715688.259999998,1352597.3199999998,2336318.75,11404604.329999998,5547096.41,1837369.3999999997,3075625.09,10460090.899999999
2026-02-18,239838.74,299943.64,-60104.90,-20.04,318,349,-31,-8.88,7630236.889999999,1340240.7,2295228.4400000004,11265706.029999997,5425989.290000001,1822589.1900000002,3177568.38,10426146.860000001
2026-02-19,224082.17,172392.13,51690.04,29.98,292,221,71,32.13,7541584.759999998,1333833.29,2266508.96,11141927.009999998,5381969.33,1820519.9,3195619.04,10398108.27
2026-02-20,169552.99,260488.95,-90935.96,-34.91,207,266,-59,-22.18,7483651.469999999,1316677.45,2254710.77,11055039.689999998,5462038.720000001,1868892.24,3157836.5199999996,10488767.48
2026-02-21,79522.78,150403.22,-70880.44,-47.13,113,195,-82,-42.05,7444498.08,1303522.1,2246173.9800000004,10994194.16,5404043.470000001,1908894.1099999999,3133477.3299999996,10446414.91
2026-02-22,114614.79,80271.16,34343.63,42.78,161,94,67,71.28,7392649.3100000005,1289412.2400000002,2229405.25,10911466.8,5566936.2700000005,1902087.67,3126789.5199999996,10595813.46
2026-02-23,199940.48,112294.33,87646.15,78.05,254,132,122,92.42,7326978.4399999995,1267191.5000000002,2213436.3200000003,10807606.26,5514304.35,1889039.1599999995,3108763.54,10512107.049999999
2026-02-24,249705.45,245541.39,4164.06,1.7,294,255,39,15.29,7382788.519999998,1252800.0499999998,2307001.66,10942590.229999997,5385446.659999999,1871087.35,3125066.0999999996,10381600.11
2026-02-25,353511.89,478097.33,-124585.44,-26.06,450,608,-158,-25.99,7217485.429999999,1267656.1400000006,2340334.0999999996,10825475.67,5349996.28,1844855.6700000004,3038108.3400000003,10232960.290000001
2026-02-26,368958.09,560350.10,-191392.01,-34.16,453,564,-111,-19.68,7155740.539999998,1231631.2,2314791.86,10702163.599999998,5152573.700000001,1737052.04,2974647.4200000004,9864273.160000002
2026-02-27,254113.32,392838.19,-138724.87,-35.31,338,435,-97,-22.3,7028232.099999998,1218653.9400000002,2280343.5199999996,10527229.559999999,5038197.0600000005,1790888.7999999996,3028571.76,9857657.620000001
2026-02-28,141980.15,234711.28,-92731.13,-39.51,195,329,-134,-40.73,6956492.299999998,1409154.1,2280011.1499999994,10645657.549999997,4946236.170000001,1744703.1699999995,2957825.0100000002,9648764.35
2026-03-01,234046.33,118558.55,115487.78,97.41,296,166,130,78.31,6500667.439999999,1395376.01,2255907.0799999996,10151950.529999997,4885953.829999998,1729256.7799999996,2943217.3099999996,9558427.919999998
2026-03-02,317838.01,169513.49,148324.52,87.5,432,206,226,109.71,6326200.389999998,1448622.87,2225828.599999999,10000651.859999998,4804635.359999999,1712658.0799999996,2917563.65,9434857.09
2026-03-03,277085.54,316897.39,-39811.85,-12.56,386,421,-35,-8.31,6321583.999999998,1428658.0300000003,2264775.7499999995,10015017.779999997,4661936.159999999,1703302.2599999998,2863375.01,9228613.43
2026-03-04,250342.84,274320.62,-23977.78,-8.74,329,426,-97,-22.77,6277614.669999999,1420616.86,2245483.7899999996,9943715.319999998,4591080.109999999,1677849.2199999997,2856409.06,9125338.389999999
2026-03-05,710526.22,557703.94,152822.28,27.4,572,569,3,0.53,6019321.82,1351753.5400000003,2168703.5499999993,9539778.91,4383013.229999999,1647233.4199999997,2956722.53,8986969.179999998
2026-03-06,254377.07,585016.61,-330639.54,-56.52,270,528,-258,-48.86,5944419.62,1347026.4600000002,2229878.5399999996,9521324.62,4702486.949999999,1585197.5099999995,2960911.1999999997,9248595.659999998
